
1426,금융,[충북] 2024년 4차 소상공인 육성자금 지원계획 변경 공고,예산 소진시까지,충청북도,충북신용보증재단,2024-08-21,164
1425,내수,2024년 전북특별자치도 크루즈 관광객 유치 여행사 보상금 지급계획 공고,예산 소진시까지,전북특별자치도,직접수행,2024-08-21,75
1424,내수,[충북] 청주시 2024년 중국 수출 테스트베드 온라인 판촉전 참여기업 모집 공고,2024-08-26 ~ 2024-09-06,충청북도,충북글로벌마케팅시스템,2024-08-21,84
1423,금융,[경기] 2024년 중소기업육성자금 융자지원 변경계획 공고,예산 소진시까지,경기도,직접수행,2024-08-21,285
1422,기술,2024년 농식품 R&D 기술상용화 우수성과 콘테스트 모집 공고,2024-08-20 ~ 2024-09-23,농림축산식품부,농림식품기술기획평가원,2024-08-21,105
1421,경영,[경남] 2024년 청년친화기업 지원사업 참여기업 모집 공고,2024-08-20 ~ 2024-09-06,경상남도,직접수행,2024-08-21,137
1420,경영,[경기] 2024년 우수 공예품 판로 지원사업 공고,2024-08-19 ~ 2024-09-06,경기도,경기도경제과학진흥원,2024-08-21,108
1419,기술,[울산] 3D프린팅 뿌리산업 특화단지 지원사업 시제품 제작지원 공고,2024-08-20 ~ 2024-10-31,울산광역시,울산정보산업진흥원,2024-08-21,75
1418,인력,[부산] 2024년 부산콘텐츠인력 Grow-up 채용지원사업 공고,2024-08-19 ~ 2024-09-02,부산광역시,부산정보산업진흥원,2024-08-21,137
1417,수출,[전북] 2024년 해외 온라인 플랫폼 D2C마케팅 지원사업 모집 공고,2024-08-20 ~ 2024-09-09,전북특별자치도,전북특별자치도경제통상진흥원,2024-08-21,92
1416,내수,[경기] 안성시 2024년 국내전시회 참가기업 지원사업 모집 공고,2024-08-20 ~ 2024-09-03,경기도,기초자치단체,2024-08-21,97
1415,기술,[울산] 3D프린팅 뿌리산업 특화단지 지원사업 프로젝트지원 추진계획 공고,2024-08-19 ~ 2024-09-02,울산광역시,울산정보산업진흥원,2024-08-21,93
1414,수출,[세종] 2024년 2차 중소기업 홍보물 제작비 지원사업 공고,2024-08-19 ~ 2024-08-30,세종특별자치시,세종상공회의소,2024-08-21,99
1413,기술,[인천] 2024년 드론 도시관리 실증(지정과제) 지원사업 참여기업 추가 모집 공고,2024-08-20 ~ 2024-08-30,인천광역시,인천테크노파크,2024-08-21,107


1412,수출,[경기] 화성시 2024년 하반기 수출기업 역량강화 지원사업 참가기업 모집 공고,2024-08-14 ~ 2024-08-29,경기도,기초자치단체,2024-08-21,124
1411,기술,[광주] 2024년 2차 산업안전보건 우수기업 인증지원사업 계획 공고,2024-08-26 ~ 2024-08-27,광주광역시,직접수행,2024-08-21,79
1410,내수,[세종] 2024년 2차 국내 전시박람회 참가비 지원사업 공고,2024-08-19 ~ 2024-08-30,세종특별자치시,세종상공회의소,2024-08-21,76
1409,수출,2024년 3회 글로벌 디지털 무역박람회 KITA 한국기업관 참가업체 모집 공고,2024-08-19 ~ 2024-08-23,산업통상자원부,한국무역협회,2024-08-21,161
1408,창업,[서울] 2024년 푸드테크 스타트업 액셀러레이팅 프로그램 참가기업 모집 공고,2024-08-19 ~ 2024-08-30,서울특별시,서울경제진흥원,2024-08-21,149
1407,창업,2024년 기후테크 창업 경연대회 참가자 모집 공고,2024-08-19 ~ 2024-09-13,서울특별시,서울시녹색산업지원센터,2024-08-21,134
1406,기타,[충북] 2024년 하반기 예비사회적기업 지정계획 공고,2024-08-22 ~ 2024-09-09,충청북도,직접수행,2024-08-20,418
1405,수출,[대구] 2024년 베트남 호치민 국제기계전 참가기업 모집 공고,2024-08-16 ~ 2024-09-20,대구광역시,대구경북기계협동조합,2024-08-20,370
1404,기타,[충남] 2024년 2차 예비사회적기업 지정계획 공고,2024-08-19 ~ 2024-09-06,충청남도,기초자치단체,2024-08-20,364
1403,수출,[부산] 2024년 조달청 벤처나라 입점 추천 지원사업 변경 모집 공고,2024-08-20 ~ 2024-09-19,부산광역시,부산창업지원센터,2024-08-20,428
